name,RMSE,RMSE_clean,MAE,MedAE,within_0.05,bias,n,secs,cfg,f0,f1,f2,f3
v3_abl_no_smoothers,0.07652432610829765,0.06776575209938057,0.045170798989462135,0.028977412628287985,70.06369426751591,0.0005556633908345972,7222,88.2,"{""drop_features"": [""sm_"", ""whit_scale""]}",0.0647756360463588,0.0688656282071927,0.08787438111937668,0.08339239695472755
v3_abl_no_weather,0.0769341222129321,0.0682074842458861,0.04533564792043521,0.02954246733049909,70.14677374688452,0.001185003138278173,7222,81.6,"{""drop_features"": [""temp_"", ""precip_"", ""gdd"", ""dry_"", ""heat_""]}",0.06528009220474205,0.0698070572001133,0.08797972125582934,0.08358238258390022
v3_abl_no_sensors,0.07866282734558096,0.07021102331197386,0.04806121784923175,0.03195005099799558,66.90667405150927,0.001760701300100436,7222,84.2,"{""drop_features"": [""s2_"", ""landsat_"", ""modis_"", ""sensor_""]}",0.0667081267166902,0.0710329160520297,0.09034311882102204,0.08531563426781132
v4_noharm,0.07641037545435038,0.06774409464509998,0.04505793004859562,0.028796491081777578,70.09138742730545,0.000802293019558687,7222,188.3,"{""drop_features"": [""harm""], ""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06481333379473336,0.06891002048751269,0.08820437405094912,0.08230150132324658
v4_noharm_analog,0.07642539242236031,0.0677994163779341,0.04519720336170407,0.028973991872257673,69.66214345056771,0.0006237742324502924,7222,176.0,"{""drop_features"": [""harm"", ""analog""], ""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.06423640663100509,0.06885692583477968,0.08843476407998617,0.08268874219601688
v4_noharm_fair,0.07604109093629129,0.06721501183609215,0.044564043992127114,0.028493333939544244,70.36831902520078,0.001378520399930395,7222,203.7,"{""drop_features"": [""harm""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair""}, ""n_estimators"": 2500}",0.06441537702450206,0.0683029901234579,0.087775154959338,0.08229356258900755
v4_noharm_analog_fair,0.07618826368073382,0.06749207786021048,0.04492350735823126,0.029015584872860448,70.21600664635835,0.0005615673132678464,7222,923.6,"{""drop_features"": [""harm"", ""analog""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair""}, ""n_estimators"": 2500}",0.06372670575431334,0.06863143591359797,0.0883283055436603,0.08251766157992982
v4_lean_fair,0.07654877042868619,0.0678970256703099,0.04489476786866583,0.028511516571809184,70.17446690667406,0.0003689555906328223,7222,185.5,"{""drop_features"": [""harm"", ""analog"", ""sm_"", ""whit_scale""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair""}, ""n_estimators"": 2500}",0.06467678743004415,0.06926322266374582,0.08804253044490806,0.08293344092831863
v4_noharm_fair_md15,0.07600643561560094,0.06727447906014491,0.044727884551419954,0.028687516543509733,69.80060924951536,0.0005625519717687559,7222,211.1,"{""drop_features"": [""harm""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair"", ""min_data_in_leaf"": 15}, ""n_estimators"": 2500}",0.06411675713654809,0.06876240159635175,0.08768160370168818,0.08207975469620717
v4_noharm_fair_ff09,0.07637624447583094,0.0675908899208377,0.044898490963356526,0.028880149257010684,70.20216006646358,0.0009371208386822109,7222,231.2,"{""drop_features"": [""harm""], ""params"": {""learning_rate"": 0.02, ""objective"": ""fair"", ""feature_fraction"": 0.9}, ""n_estimators"": 2500}",0.0645705884223774,0.06887071930562831,0.08798183883073141,0.08276260739988697
